Scheme Name,Category,Fund manager,ISIN,Manager strike rate,AUM in Cr,Expense ratio,Current Status,Fund score New,Percentile Rank,Strength,Weakness,Who should invest,Who should avoid investing
Invesco India ESG Equity Fund(G)-Direct Plan,Thematic Fund,Taher Badshah,INF205KA1338,58%,688,0.68%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 57%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Kotak Business Cycle Fund(G)-Direct Plan,Thematic Fund,Pankaj Tibrewal,INF174KA1JN6,56%,2394,0.25%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 55%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Kotak ESG Opportunities Fund(G)-Direct Plan,Thematic Fund,Harsha Upadhyaya,INF174KA1FI4,60%,1305,0.38%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 60%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Kotak Manufacture in India Fund(G)-Direct Plan,Thematic Fund,Harish krishnan,INF174KA1IF4,63%,931,0.57%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 62%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Kotak Pioneer Fund(G)-Direct Plan,Thematic Fund,Harish krishnan,INF174KA1EZ1,63%,1647,0.46%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 62%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Motilal Oswal S&P 500 Index Fund(G)-Direct Plan,Thematic Fund,Ankush Sood,INF247L01AG2,17%,2343,0.51%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 16%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Nippon India Japan Equity Fund(G)-Direct Plan,Thematic Fund,Kinjal Desai,INF204KA1SI1,61%,258,1.29%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 61%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Nippon India Taiwan Equity Fund(G)-Direct Plan,Thematic Fund,Kinjal Desai,INF204KC1303,61%,442,1.04%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 61%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Nippon India US Equity Opp Fund(G)-Direct Plan,Thematic Fund,Kinjal Desai,INF204KA15G5,61%,532,1.23%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 61%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Quant ESG Equity Fund(G)-Direct Plan,Thematic Fund,Ankit Pande,INF966L01AD4,93%,148,0.64%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 92%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Quant Quantamental Fund(G)-Direct Plan,Thematic Fund,Sandeep Tandon,INF966L01AK9,75%,204,0.56%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 75%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Quantum India ESG Equity Fund(G)-Direct Plan,Thematic Fund,Chirag Mehta,INF082J01382,60%,64,0.98%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 60%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
SBI Equity Minimum Variance Fund(G)-Direct Plan,Thematic Fund,Raviprakash Sharma,INF200KA1A71,17%,139,0.43%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 16%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
JM Value Fund(G)-Direct Plan,Value Fund,Satish Ramanathan,INF192K01BT3,67%,169,1.87%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 66%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)","Investors having a conservative approach towards investments
"
Union Value Discovery Fund(G)-Direct Plan,Value Fund,Vinay Paharia,INF582M01EK4,71%,152,1.71%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 70%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)","Investors having a conservative approach towards investments
"
Axis Value Fund(G)-Direct Plan,Value Fund,Jinesh Gopani,INF846K010C0,37%,274,1.13%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 36%.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)","Investors having a conservative approach towards investments
"
Canara Rob Value Fund(G)-Direct Plan,Value Fund,Vishal Mishra,INF760K01JW4,40%,787,0.67%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 40%.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)","Investors having a conservative approach towards investments
"
DSP Value Fund(G)-Direct Plan,Value Fund,Aparna Karnik,INF740KA1PP3,0%,597,0.94%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is%.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)","Investors having a conservative approach towards investments
"
IDBI Long Term Value Fund(G)-Direct Plan,Value Fund,Alok Ranjan,INF397L01KU5,33%,104,1.67%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Those looking for relatively high risk compared to large cap funds
Investors who are looking for a value buy (value buy is investing in stocks which are trading at a significantly discounted price for reasons which are not justified over a longer time)","Investors having a conservative approach towards investments
"
